name,price,available,Url,priceValidUntil
Fully Assembled Knob / Silver Grey - A / Gateron G Pro Red,170.10,False,https://www.keychron.com/products/keychron-q1?variant=39898878869593,2023-08-13
Fully Assembled Knob / Silver Grey - A / Gateron G Pro Blue,170.10,True,https://www.keychron.com/products/keychron-q1?variant=39898878902361,2023-08-13
Fully Assembled Knob / Silver Grey - A / Gateron G Pro Brown,170.10,True,https://www.keychron.com/products/keychron-q1?variant=39898878935129,2023-08-13
Fully Assembled Knob / Silver Grey - A / Gateron Phantom Yellow,170.10,True,https://www.keychron.com/products/keychron-q1?variant=39898958037081,2023-08-13
Fully Assembled Knob / Silver Grey - A / Gateron Phantom Silver,179.10,True,https://www.keychron.com/products/keychron-q1?variant=39898958102617,2023-08-13
Fully Assembled Knob / Navy Blue - A / Gateron G Pro Red,170.10,True,https://www.keychron.com/products/keychron-q1?variant=39898879033433,2023-08-13
Fully Assembled Knob / Navy Blue - A / Gateron G Pro Blue,170.10,True,https://www.keychron.com/products/keychron-q1?variant=39898879066201,2023-08-13
Fully Assembled Knob / Navy Blue - A / Gateron G Pro Brown,170.10,True,https://www.keychron.com/products/keychron-q1?variant=39898879098969,2023-08-13
Fully Assembled Knob / Navy Blue - A / Gateron Phantom Yellow,170.10,True,https://www.keychron.com/products/keychron-q1?variant=39898958495833,2023-08-13
Fully Assembled Knob / Navy Blue - A / Gateron Phantom Silver,179.10,True,https://www.keychron.com/products/keychron-q1?variant=39898958200921,2023-08-13
Fully Assembled Knob / Shell White / Gateron G Pro Red,170.10,True,https://www.keychron.com/products/keychron-q1?variant=39951530885209,2023-08-13
Fully Assembled Knob / Shell White / Gateron G Pro Blue,170.10,True,https://www.keychron.com/products/keychron-q1?variant=39951530917977,2023-08-13
Fully Assembled Knob / Shell White / Gateron G Pro Brown,170.10,True,https://www.keychron.com/products/keychron-q1?variant=39951530950745,2023-08-13
Fully Assembled Knob (Special Edition) / Orange Yellow / Gateron G Pro Red,170.10,False,https://www.keychron.com/products/keychron-q1?variant=40316012658777,2023-08-13
Fully Assembled Knob (Special Edition) / Orange Yellow / Gateron G Pro Blue,170.10,False,https://www.keychron.com/products/keychron-q1?variant=40316013084761,2023-08-13
Fully Assembled Knob (Special Edition) / Orange Yellow / Gateron G Pro Brown,170.10,False,https://www.keychron.com/products/keychron-q1?variant=40316013805657,2023-08-13
Fully Assembled Knob (Special Edition) / Champagne Gold / Gateron G Pro Red,170.10,False,https://www.keychron.com/products/keychron-q1?variant=40359307214937,2023-08-13
Fully Assembled Knob (Special Edition) / Champagne Gold / Gateron G Pro Blue,170.10,False,https://www.keychron.com/products/keychron-q1?variant=40359309246553,2023-08-13
Fully Assembled Knob (Special Edition) / Champagne Gold / Gateron G Pro Brown,170.10,False,https://www.keychron.com/products/keychron-q1?variant=40359313997913,2023-08-13
Fully Assembled Knob (Special Edition) / Red / Gateron G Pro Red,170.10,False,https://www.keychron.com/products/keychron-q1?variant=40361345613913,2023-08-13
Fully Assembled Knob (Special Edition) / Red / Gateron G Pro Blue,170.10,False,https://www.keychron.com/products/keychron-q1?variant=40361345646681,2023-08-13
Fully Assembled Knob (Special Edition) / Red / Gateron G Pro Brown,170.10,False,https://www.keychron.com/products/keychron-q1?variant=40361345679449,2023-08-13
Fully Assembled Knob (Special Edition) / Purple / Keychron K Pro Banana,170.10,False,https://www.keychron.com/products/keychron-q1?variant=40373441265753,2023-08-13
Barebone / Carbon Black / Barebone,143.10,False,https://www.keychron.com/products/keychron-q1?variant=39898909540441,2023-08-13
Barebone / Silver Grey / Barebone,143.10,False,https://www.keychron.com/products/keychron-q1?variant=39898909671513,2023-08-13
Barebone / Navy Blue / Barebone,143.10,True,https://www.keychron.com/products/keychron-q1?variant=39898909802585,2023-08-13
Barebone Knob / Carbon Black / Barebone,152.10,False,https://www.keychron.com/products/keychron-q1?variant=39898879131737,2023-08-13
Barebone Knob / Silver Grey / Barebone,152.10,True,https://www.keychron.com/products/keychron-q1?variant=39898879164505,2023-08-13
Barebone Knob / Navy Blue / Barebone,152.10,True,https://www.keychron.com/products/keychron-q1?variant=39898879197273,2023-08-13
